metric,nicheflow_cfm_unaligned,nicheflow_vfm_unaligned,otcfm_shared50_1025,otcfm_spatial_shared50_1025
test/c2st/acc,0.929,0.5912499999999999,0.731,0.654
test/c2st/auc,0.9797232739846248,0.6136604064903356,0.800386254663828,0.6970850641878827
test/c2st/gene_acc,0.93875,0.5882499999999999,0.6307499999999999,0.6519999999999999
test/c2st/gene_auc,0.9845463120254012,0.6218233528477917,0.6710109854906259,0.6948424313442623
test/c2st/nn,0.0257,0.3208999999999999,0.5183000000000001,0.54845
test/c2st/nn_flip,0.0,0.1,0.4375,0.513
test/c2st/nn_real_ref,0.98955,0.3895999999999999,0.67185,0.7056
test/c2st/nn_std,0.0562984013982635,0.1728096930151778,0.1651517786764647,0.1587060096530688
test/c2st/pos_acc,0.70275,0.56325,0.6315,0.55225
test/ct/acc,0.2592592592592592,0.3996101364522417,0.3313840155945419,0.4346978557504873
test/ct/acc_gap,0.359980506822612,0.3287914230019493,0.2839571150097466,0.2157309941520467
test/ct/acc_gen,0.2300194931773879,0.2612085769980506,0.3060428849902534,0.3742690058479532
test/ct/acc_real,0.59,0.59,0.59,0.59
test/ct/f1,0.2554791418479077,0.3721136528896897,0.2646906033852658,0.4103399611413574
test/ct/prop_jsd,0.0118204556626301,0.0113295080940176,0.0674901570269452,0.0213629076623853
test/ct/prop_kl,0.1601149412792953,0.0478494690140803,0.4385935643784258,0.2025401179954077
test/ct/prop_tv,0.0935672514619883,0.1403508771929824,0.2982456140350877,0.1656920077972709
test/mmd2/pos,0.0175375938415527,0.0380721092224121,0.0660638809204101,0.002690315246582
test/mmd2/x,0.0306696891784667,0.0045104026794433,0.0060348510742187,0.0061230659484863
test/moran/corr,0.6882053456477514,0.9677130356719936,-0.1421757270365922,0.8294676381735655
test/moran/gen_mean,0.0818342076794892,0.1899361055042242,-0.0010112226033972,0.0302819086204339
test/moran/mae,0.1237905939671632,0.0251439309969949,0.1896926370866762,0.158399505862845
test/moran/real_mean,0.188681414483279,0.188681414483279,0.188681414483279,0.188681414483279
test/ot_w1/pos,0.2954288249849776,0.2703285958237397,0.431071827496911,0.1416918326604498
test/ot_w1/x,7.250883259773272,5.164549899607916,5.517237716436387,5.517509393215181
test/ot_w2/pos,0.349965631123845,0.3313955915085632,0.5063310325004963,0.1743160566984483
test/ot_w2/x,7.343338405551412,5.359098212537826,5.622597264029074,5.619840261267514
test/psd/max,0.4938581802427847,0.228142760689728,1.1483872225213316,0.8232972757520723
test/psd/mean,0.0249335328708126,0.0196419429847865,0.0872296959999714,0.0293105588887211
test/recon/mse_gap,0.0051272511482238,0.0392232537269592,0.0614410638809204,0.020462691783905
test/recon/mse_gen,0.8807200789451599,0.8363695740699768,0.9370338916778564,0.8960555195808411
test/recon/mse_real,0.875592827796936,0.875592827796936,0.875592827796936,0.875592827796936
test/spd/max,0.8844905662659416,0.2500280792370628,0.0714642188439974,0.1567872423535603
test/spd/mean,0.0590034419848505,0.0139586797023758,0.0215769033585908,0.0211818154309228
