metric,nicheflow_cfm_unaligned,nicheflow_vfm,otcfm_1025,otcfm_spatial_1025
test/c2st/acc,0.6045,0.5897500000000001,0.9985,0.9985
test/c2st/auc,0.6420557005850983,0.6191029827729798,0.999967490043826,0.9999312283757644
test/c2st/graph_acc,0.6279999999999999,0.6002500000000001,0.99875,0.99875
test/c2st/graph_auc,0.67750875,0.64429125,1.0,0.999995
test/c2st/pos_acc,0.5902499999999999,0.58125,0.6315,0.4977500000000001
test/ct/acc,0.253411306042885,0.2553606237816764,0.1167436257779562,0.2217426219634611
test/ct/acc_gap,0.1342777777777777,0.1615682261208577,0.2973753262397108,0.2855303151977514
test/ct/acc_gen,0.2222222222222222,0.1949317738791423,0.0591246737602891,0.0709696848022485
test/ct/acc_real,0.3565,0.3565,0.3565,0.3565
test/ct/f1,0.2403920118024111,0.2526107041557917,0.0306710065947772,0.1292692701239229
test/ct/prop_jsd,0.0165271547849233,0.0052578709177289,0.4591809282015689,0.203103919836875
test/ct/prop_kl,0.0700041255595269,0.0225360767592337,9.020519294491605,2.6642386924011525
test/ct/prop_tv,0.138401559454191,0.0565302144249512,0.8410961654286286,0.5778960048183095
test/mmd2/pos,0.0080041885375976,0.0279293060302734,0.0660638809204101,-0.0005035400390625
test/mmd2/x,0.002810001373291,0.0030269622802734,0.5434341430664062,0.5296883583068848
test/moran/corr,0.9373756976942824,0.9810690481640216,-0.0475028255513327,0.3695960513904339
test/moran/gen_mean,0.1118404116792917,0.1751959676440891,-1.2734608885273671e-05,0.1941871204841247
test/moran/mae,0.0769167222555128,0.022957506430677,0.1886941490921643,0.1140422054685535
test/moran/real_mean,0.188681414483279,0.188681414483279,0.188681414483279,0.188681414483279
test/ot_w1/pos,0.1921404239831605,0.214151090841682,0.431071827496911,0.0807623072247951
test/ot_w1/x,5.470924941837786,5.2065995301604415,7.094998958051213,7.077621691584583
test/ot_w2/pos,0.2279475176816525,0.2770794951312771,0.5063310325004963,0.0972024450691158
test/ot_w2/x,5.595996961564769,5.382949224377225,7.287441909699191,7.272742078608436
test/psd/max,0.1559599394340867,0.1639635224575772,1.1483872225213316,0.4508825802164938
test/psd/mean,0.0199262328669798,0.0195825674907871,0.0872296959999714,0.0237273456009466
test/spd/max,0.3617182093147131,0.2250442098010322,0.0714642188439974,0.1787518009501728
test/spd/mean,0.0178156110918583,0.0137801863512979,0.0215769033585908,0.0196211635881116
